Program,Age ,Gender,Race,Household,House income 
Family Swim 4/30/2025 3:30-4:30,8,male,"White/European descent,",3,"$90,001+"
Family Swim 6/26/2025 12pm-1:00pm,4,female,"White/European descent,",2,"$90,001+"
Swim Lessons Level 1 Tues,10,female,"White/European descent,",4,"$90,001+"
Family Swim 3/18/2025 4:00-5:00pm,18,female,black/African-American (having origins in Sub-Saharan Africa,2,"$90,001+"
Family Swim 4/12/2025 4:00-5:00pm,8,female,"White/European descent,",5,"$20,001-30,000"
Childcare Swim Lessons Mon,7,female,"White/European descent,",2,"$70,001-80,000"
Family Swim 5/22/2025 3:30-4:30,31,female,Multiracial,5,"$40,001-50,000"
Family Swim 3/19/2025 5:00-6:00pm,41,female,"Middle Eastern/North African (including the Middle East, North Africa, and the Arab world),",3,"$70,001-80,000"
Family Swim 5/22/2025 4:00-5:00pm,20,male,"Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",7,"<$10,000"
Family Swim 3/18/2025 4:00-5:00pm,10,female,"White/European descent,",1,"$70,001-80,000"
Family Swim 2/10/2025 4:00-5:00pm,7,male,"White/European descent,",4,"$90,001+"
PreK Swim Lessons Thurs,3,female,"White/European descent,",3,"$10,001-20,000"
Family Swim 4/5/2025 4:00-5:00pm,23,male,Multiracial,3,"$90,001+"
Family Swim 5/8/2025 3:30-4:30,7,male,"White/European descent,",4,"$20,001-30,000"
Family Swim 4/17/2025 5:45-6:45pm,7,male,"White/European descent,",6,"<$10,000"
Family Swim 3/6/2025 12pm-1:00pm,25,male,"White/European descent,",7,"<$10,000"
Family Swim 6/24/2025 5:00-6:00pm,36,male,"White/European descent,",3,"$80,001-90,000"
Family Swim 3/8/2025 3:30-4:30,10,male,"White/European descent,",2,"$40,001-50,000"
Family Swim 6/28/2025 5:45-6:45pm,30,male,black/African-American (having origins in Sub-Saharan Africa,5,"$10,001-20,000"
Family Swim 3/19/2025 12pm-1:00pm,6,male,"White/European descent,",5,"$50,001-60,000"
Family Swim 1/5/2025 4:00-5:00pm,8,female,"White/European descent,",3,"$10,001-20,000"
Family Swim 1/7/2025 3:30-4:30,9,female,black/African-American (having origins in Sub-Saharan Africa,5,"$30,001-40,000"
Childcare Swim Lessons Mon,4,female,Multiracial,4,"$90,001+"
Swim Lessons Level 5 Mon,5,male,"White/European descent,",5,"$60,001-70,000"
Family Swim 3/11/2025 12pm-1:00pm,11,male,black/African-American (having origins in Sub-Saharan Africa,4,"$70,001-80,000"
Family Swim 5/27/2025 12pm-1:00pm,12,female,"White/European descent,",4,"$40,001-50,000"
Family Swim 4/22/2025 5:00-6:00pm,46,male,"White/European descent,",3,"$90,001+"
Family Swim 4/29/2025 3:30-4:30,14,male,"White/European descent,",5,"<$10,000"
